2018,HumanEdge,,,,,,type,NaturalEdge,,,,,
Distance,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,
10,0.6739541222910792,0.5860047138180664,0.6796903945428656,0.7733854584144991,0.12804268350165818,,,0.6742239036349161,0.5860217911780886,0.6953635292449796,0.7734060299454858,0.1316691897790412,
20,0.6915826736265615,0.6016431203007698,0.6953257274453593,0.7890133712887075,0.12387916114582254,,,0.6940891401884768,0.6172708779489786,0.7109938247823092,0.7890279784235378,0.12293006237069684,
30,0.7003622189516736,0.6172678644765681,0.7109573758622996,0.7890133479245179,0.11865567416426744,,,0.7009303122372093,0.6328994018603844,0.7109954061502302,0.7890398489246033,0.11731545417583698,
40,0.7183562851064589,0.6485285495576584,0.726605522893986,0.804643490131263,0.11435251202016786,,,0.7127163519223235,0.6329100410848962,0.7266383415528319,0.8046396811270411,0.11439166057876207,
50,0.7288305909946521,0.6485430900254259,0.7422233992271762,0.8202644241059945,0.11294025385408285,,,0.7177634431873073,0.6445584812986682,0.7382981041739235,0.8007770452226304,0.11281434103909563,
60,0.7315499171721678,0.6641643580116747,0.7422254237600108,0.8202665403086165,0.11140449904671332,,,0.7170723064571705,0.6445570282145338,0.7304830142759102,0.8007720192786705,0.11105046219666292,
70,0.7404762767035561,0.6641811163044896,0.7578683838990299,0.820285301699263,0.10961462872864933,,,0.7247283227828173,0.6485389794750474,0.7422587076273375,0.8046642673101918,0.11052131285429198,
80,0.7412365547302362,0.6641815378168094,0.75785499689151,0.8202922022537738,0.10949591233860359,,,0.722073598619235,0.6485403935498466,0.74223685217281,0.8046564056391815,0.10972279620006688,
90,0.7453547752682054,0.6798029456364036,0.7578731884404365,0.8358844912242464,0.1083888584365595,,,0.7247900316252722,0.6485438748469154,0.7422433935436059,0.8046614634159415,0.1091920888704419,
100,0.7486348759347454,0.6798101696881479,0.7735028585761767,0.8359059159354773,0.10803246647029961,,,0.7266707680330919,0.6485445290611213,0.7422447686367452,0.8046703079664839,0.10902272447911675,
110,0.7501233925594389,0.6798138971969315,0.7735078222651401,0.8359007723221563,0.10733761012799786,,,0.7268787529043109,0.6641513425390904,0.742243955332224,0.8046667704021366,0.10851599678061506,
