FE Area(sq meters),distance£¨m£©,%,time,FE Area(sq meters),distance£¨m£©,%,time,FE Area(sq meters),distance£¨m£©,%,time,FE Area(sq meters),distance£¨m£©,%,time,FE Area(sq meters),distance£¨m£©,%,time,FE Area(sq meters),distance£¨m£©,%,time
6.12527760997187E10,10,,2018,6.377552796903875E10,10,,2019,6.397673446419713E10,10,,2020,6.4103937084156586E10,10,,2021,6.569041697611314E10,10,,2022,6.505712705863935E10,10,,2023
5.537567429310301E10,20,,,5.76870922440623E10,20,,,5.78221473314799E10,20,,,5.789711972451375E10,20,,,5.982176273353712E10,20,,,5.9169833958921364E10,20,,
6.089533618536948E10,30,,,6.339454976422455E10,30,,,6.3553578849527245E10,30,,,6.357650200714779E10,30,,,6.591555633742706E10,30,,,6.515339809406971E10,30,,
5.176030618434367E10,40,,,5.390001327047632E10,40,,,5.407796102841101E10,40,,,5.400030127298212E10,40,,,5.619739811695863E10,40,,,5.550967582473607E10,40,,
6.1690426026387566E10,50,,,6.417997921490838E10,50,,,6.439564864982381E10,50,,,6.424171045268037E10,50,,,6.697395204075132E10,50,,,6.6144010921329E10,50,,
4.692946615559561E10,60,,,4.882209117641189E10,60,,,4.9003585263309E10,60,,,4.879040872792972E10,60,,,5.096956498215898E10,60,,,5.031103077607931E10,60,,
4.4472699034869934E10,70,,,4.624102469773994E10,70,,,4.641336186443543E10,70,,,4.615964011940798E10,70,,,4.826977122755216E10,70,,,4.763466762015843E10,70,,
4.951500362399917E10,80,,,5.143929406044712E10,80,,,5.161804553570448E10,80,,,5.128985920479508E10,80,,,5.364215939113638E10,80,,,5.293146881486551E10,80,,
4.77999351489866E10,90,,,4.964339693724101E10,90,,,4.9810371824425476E10,90,,,4.9423712959356636E10,90,,,5.1719447297730736E10,90,,,5.102299496895027E10,90,,
4.64008786217933E10,100,24.49803,,4.8153652182739136E10,100,25.37926866,,4.829952877590686E10,100,25.46134687,,4.786507468400734E10,100,25.66699028,,5.008896778603012E10,100,26.48667643,,4.940839247178432E10,100,26.13622961,
3.795278002024176E10,110,,,3.93797370868721E10,110,,,3.9491180597763596E10,110,,,3.908298465373463E10,110,,,4.092946845515334E10,110,,,4.036052181689232E10,110,,
3.628305396250173E10,120,,,3.7624090044240074E10,120,,,3.772215559029419E10,120,,,3.7295185174698105E10,120,,,3.906371528585867E10,120,,,3.8514365901879684E10,120,,
4.4475503272632996E10,130,,,4.607150584389653E10,130,,,4.617816698646804E10,130,,,4.5624513081320404E10,130,,,4.777446468769533E10,130,,,4.709988661041881E10,130,,
3.639170286246605E10,140,,,3.766696941210854E10,140,,,3.775471738309935E10,140,,,3.724119879739913E10,140,,,3.900255127291203E10,140,,,3.843649009057975E10,140,,
3.787897309775343E10,150,,,3.9171540020556206E10,150,,,3.92516821863355E10,150,,,3.868910925004029E10,150,,,4.051308030830917E10,150,,,3.9918273115891174E10,150,,
3.140695002969052E10,160,,,3.245718515641469E10,160,,,3.2521529168760563E10,160,,,3.2012797120874245E10,160,,,3.3534872025241245E10,160,,,3.3029440966233948E10,160,,
3.480386602964394E10,170,,,3.593209813492274E10,170,,,3.599341999874578E10,170,,,3.541497719204181E10,170,,,3.7082147295066315E10,170,,,3.651773793130605E10,170,,
