distance,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev
10,0.9993934035301208,0.658247772846609,2.495707349225995E-6,0.591803582658154,0.6660170949785182,0.7324174187754433,0.10087324839367887
20,0.9993396997451782,0.675487155721564,2.495707349225995E-6,0.6152431709177899,0.6855459619170611,0.7441354312720515,0.09592273104267839
30,0.9993479251861572,0.6913019379164101,2.9865518445149064E-4,0.6347737059723635,0.7011741738663038,0.7597591989793696,0.092490620631335
40,0.9993273019790649,0.7053557525669312,4.5641258475370705E-4,0.6504004810905187,0.7167994212769909,0.7714785877801859,0.08980026838558797
50,0.9994699358940125,0.7158088981364005,2.0732473058160394E-4,0.6621184158970231,0.7285215815617326,0.7792897556309843,0.08816454422238615
60,0.9993783831596375,0.7232442201779219,5.927682504989207E-4,0.6738370428963628,0.7363338022040646,0.7871031604250031,0.08726159729491487
70,0.9993089437484741,0.7284286276794534,4.928536363877356E-4,0.6777440222286327,0.7441477132580685,0.7910096299280617,0.0865330643552834
80,0.9994112253189087,0.7325728233364603,2.9971246840432286E-4,0.6855537381530403,0.7480412463656606,0.7949133298723354,0.08600961142246531
90,0.9994137287139893,0.7363630949665595,2.6034886832349E-4,0.6894595856098626,0.7519487423187275,0.7988199654028347,0.08544751900187823
100,0.9994340538978577,0.7393478035483413,3.6414674832485616E-4,0.6933683739802696,0.755866864241106,0.7988204758274753,0.08505527288991424
110,0.9993941187858582,0.7418666784669014,3.637686313595623E-4,0.6972780230989489,0.7558665247011566,0.8027262019889272,0.08463425888831778
120,0.9994415044784546,0.7439238219252304,5.002501420676708E-4,0.6972766506205601,0.7597720159185578,0.8027266703097604,0.08427539545907631
130,0.9994032979011536,0.7460948615283819,4.979105433449149E-4,0.701183733021029,0.7636782862616182,0.8066325576316185,0.0838595447825547
140,0.9994854927062988,0.7479493774300162,3.8986356230452657E-4,0.7050902598597976,0.7636793896326638,0.8066320621023277,0.08354846369307357
150,0.9993634819984436,0.7498771120369343,2.746800018940121E-4,0.7050915733257095,0.7675850426464835,0.8066332118373356,0.08308547395828968
160,0.9993988871574402,0.7515597244803103,4.568296135403216E-4,0.7089978776766958,0.767586169521161,0.8105341608791264,0.08266310311692848
