2020,Type,Human_Broadleaf,,,,,,,,2020,Type,Nat_Broadleaf,,,,
distance,system:index,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,,distance,system:index,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev
10,2,0.6873917419767813,0.6133065172845441,0.69140547790296,0.769498434635275,0.11062273050695058,,,,10,2,0.6613572701711364,0.5742244097355903,0.6992217906091948,0.7773733761331275,0.1509124733946284
20,2,0.7014569080487667,0.6367457416695728,0.7070345771618559,0.7773200857640009,0.1047759775336368,,,,20,2,0.7152984303911119,0.6523770797203684,0.7461141302881618,0.8086007084995361,0.1278242285492568
30,2,0.7193303230394139,0.6523657922551568,0.7304752310954087,0.7929474870792961,0.09987779434675628,,,,30,2,0.7466761462624949,0.69927474471842,0.7773895724294233,0.8320232184528902,0.11688437281589051
40,2,0.7369198075711434,0.6836312677755713,0.7539087573078335,0.8085609041891149,0.09401016507777923,,,,40,2,0.763758396018426,0.722719934313445,0.7929958630332484,0.8398065124070169,0.10824422961687186
50,2,0.749774088866899,0.6992577614199845,0.7695523363851685,0.8163856270423371,0.09091229211557411,,,,50,2,0.7695054925364845,0.730519707864966,0.7930045241382369,0.8398423644468873,0.104509515111156
60,2,0.7572811502835712,0.7070711337719543,0.7773709988813924,0.8241954882645258,0.08917843051049584,,,,60,2,0.777426962268496,0.7383360822004872,0.8008338659306522,0.8476498539937842,0.10152104217811074
70,2,0.7654785795588416,0.7227144777544668,0.7851825925792784,0.8320017234589286,0.0860661696984058,,,,70,2,0.7784333971151919,0.7383531328829918,0.8008307615483523,0.8476329995598051,0.09782778641712256
80,2,0.7693983667185905,0.7227127851386743,0.7851916103652548,0.8320163918876156,0.08580701753967615,,,,80,2,0.7822566421522112,0.7461805275521295,0.8086480883980299,0.8476527155256127,0.09702674115618438
90,2,0.7725801392705263,0.7305269937833507,0.7929986910470803,0.8320117710772673,0.0838346442420165,,,,90,2,0.7837794895860352,0.7461522781659463,0.8086297991854315,0.8476169881914098,0.09435560359605866
100,2,0.777129121706414,0.7383388201617027,0.7930041655406499,0.8398126203020722,0.08270540923468336,,,,100,2,0.7845710710994143,0.7461386716238131,0.8086381562048323,0.8476410174490743,0.09329081024472115
110,2,0.7783868889417734,0.7383430319988288,0.793008168145995,0.839809242856624,0.0814673089828142,,,,110,2,0.7864507613093401,0.7539695156624879,0.8086259423745631,0.8476358164040905,0.09191520924443765
120,2,0.7810652510904191,0.7461431356768576,0.8008123243317121,0.8398162328582627,0.08107851258826937,,,,120,2,0.7864358256013877,0.7539727787702082,0.8086371400776818,0.8476277940852174,0.09156562346686828
130,2,0.7826071844520758,0.7461425721275207,0.800821357917417,0.8398143095288891,0.07961868810841989,,,,130,2,0.7859351475557684,0.7461650613358559,0.8086454035869465,0.8476118688791203,0.09050597098421773
140,2,0.7838407628006122,0.7461490148928591,0.8008165028583911,0.8398162714653661,0.0792093230808829,,,,140,2,0.7888260231046896,0.7539518904092171,0.8086336722496228,0.8476268241508911,0.08957675225288776
150,2,0.785631667436594,0.7539692411552987,0.8008238291141492,0.8398175946613907,0.07801228864125029,,,,150,2,0.788065554527954,0.7539672786938709,0.808638093516734,0.8476227761233938,0.08828812964867562
160,2,0.7868947625670379,0.7539660802243869,0.800818544509632,0.8398162388132201,0.07756535377623995,,,,160,2,0.7902567636735375,0.7539690784732864,0.8086134695857208,0.8476362340256556,0.088015271664422
170,2,0.7883547395870983,0.7539667848450328,0.8086233182762589,0.8398222776711853,0.07652977214785811,,,,170,2,0.7897545052068637,0.7539630828461258,0.8086299499353,0.8476256575172817,0.08651099548284939
180,2,0.7888260057767194,0.7539738155436694,0.808620959295745,0.8398204623777894,0.07598296081300071,,,,180,2,0.7899342984527702,0.753968234665716,0.808625887127662,0.8476300324794745,0.08649348656593651
190,2,0.7906761169221713,0.7617937663771738,0.8086316200386182,0.8398168363909818,0.07501078227005636,,,,190,2,0.7909856508051445,0.7539770345586961,0.8086293458916939,0.8476102507427539,0.08503559100409143
200,2,0.7911979574155421,0.7617958795577499,0.8086254026105664,0.8398188218811656,0.07456675359465657,,,,200,2,0.7907359259569209,0.7539821055789978,0.8086248044575425,0.8476291835565688,0.08503688088571987
210,2,0.792716862590365,0.761795951159492,0.8086276344303405,0.8398222344731271,0.0739013431877803,,,,210,2,0.791384944112253,0.7539675115803061,0.8086325674658209,0.8476273170121268,0.0842832859941447
220,2,0.7934093442321638,0.7618004894119145,0.8086300563336822,0.8398152911404426,0.07303137499134606,,,,220,2,0.7919433063271047,0.7539813717038238,0.8086409424409033,0.8476385997938742,0.08365943659774572
230,2,0.7940399963326686,0.7618039957778554,0.8086265540128341,0.8476132400507966,0.07274167622254397,,,,230,2,0.7914637749352598,0.7539743800218833,0.8086189100139585,0.84760502575817,0.08331052055372418
240,2,0.7952092839230259,0.7618031985762004,0.8086279158909465,0.8476090256435516,0.0719434694168172,,,,240,2,0.7928279502029011,0.7618003172000465,0.8086308228181045,0.8476271937843795,0.08266961233170654
250,2,0.7954252423480763,0.7618062228434531,0.8086303049342414,0.8476081604482274,0.0713896977196795,,,,250,2,0.7918232275445056,0.7617794840179795,0.8086134043096065,0.847622531591608,0.08209980657736615
260,2,0.7963533595761333,0.7696118338332295,0.8086327674819594,0.8476117879737648,0.07100577404485489,,,,260,2,0.7930546338025829,0.7617926096021809,0.8086282318262917,0.8476120265886143,0.08167906671632968
270,2,0.7967340981044497,0.7696093280477243,0.8086381368927623,0.8476123546358806,0.07064392742090314,,,,270,2,0.7925336798216427,0.7617861102124055,0.8086274529178805,0.8476336751877576,0.08137045616771837
280,2,0.797633444926777,0.7696163529967968,0.8086383546331087,0.847613320298946,0.06986143372983389,,,,280,2,0.7934069812123897,0.7617873615202359,0.8086317471259552,0.8476279996406049,0.08075701699523961
290,2,0.7976886531575447,0.7696121672999164,0.808637469290005,0.8476102522713372,0.06977843952538478,,,,290,2,0.7931111999823508,0.7617897366034097,0.8086223501768949,0.8476143226863381,0.0807824579865204
300,2,0.7989455549641246,0.7696201091220496,0.8164338483622156,0.8476147176139778,0.06904220313295352,,,,300,2,0.7941133322543286,0.7617837950617518,0.8086422567974975,0.8476172838135022,0.08021204833807469
400,2,0.8030959960182615,0.7774308364524046,0.8164358689307784,0.8476059469724605,0.06574948989202029,,,,400,2,0.7945048303390126,0.7618049428612158,0.808634130002259,0.847620814418838,0.07799144859309297
500,2,0.8062145372557951,0.777438339258835,0.8164397290273108,0.8476082038895566,0.06307453804136089,,,,500,2,0.7948756096256084,0.7618057981304532,0.808617921016803,0.8476175108230352,0.0765318625632487
600,2,0.8091605383527972,0.7852445732550581,0.8164390057274188,0.847612405335463,0.06092314245090578,,,,600,2,0.7954674609294746,0.7618126711856703,0.8086246969681812,0.8476001499767042,0.07516373723378907
700,2,0.8115036067775898,0.7852469032697647,0.8242416261797687,0.8554130424033938,0.05984252016177714,,,,700,2,0.7958965643318335,0.7618024504209562,0.8086288383275549,0.8476136207337147,0.07426845503367971
800,2,0.8140029569363015,0.7852445151410185,0.8242463339741569,0.8554159603532364,0.05881179501324151,,,,800,2,0.7965392912143279,0.7696085718587725,0.8086221997588108,0.8476298937863866,0.07341865984081643
900,2,0.8161322845560647,0.7930582164710421,0.824254057271434,0.8554250034914943,0.05794160394213262,,,,900,2,0.7969900401555384,0.769605747678469,0.8086293919244351,0.8476117896396418,0.07277849939109646
1000,2,0.8181066781138221,0.7930581466807116,0.8242439040190447,0.855439675332326,0.05751388446559309,,,,1000,2,0.797349177787172,0.7696261221301504,0.8086307089070961,0.8476027572943211,0.0723007868789351
,,,,,,,,,,,,,,,,
2020,Type,Human_Mixed,,,,,,,,2020,Type,Nat_Mixed,,,,
distance,system:index,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev,,,,distance,system:index,NDVI_Mean,NDVI_P25,NDVI_P50,NDVI_P75,NDVI_StdDev
10,3,0.6679589731127044,0.5898674469276932,0.6757778134309742,0.7460574488440738,0.10855124715734599,,,,10,3,0.668718620204267,0.5976724494748745,0.6992381888806446,0.7695163788406789,0.13825039141792766
20,3,0.6823664654419713,0.6134123793726383,0.6915150281392106,0.7615756867083335,0.10361258146242561,,,,20,3,0.6999955536832553,0.6367893826117804,0.7305047376401024,0.7851694109385872,0.12097967166477283
30,3,0.6995176426870403,0.6367478265261439,0.7070416073102314,0.7773193886545873,0.09973416000589486,,,,30,3,0.7183722067698943,0.6602083939531164,0.7461029715418784,0.8007431561903986,0.11171089330753625
